problem_id,symmetry,spectrum_type,problem_latex,answer_latex
C_5x5_eig_069,symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 12 & -5 & 2 & -2 & -4 \\ -5 & -4 & -2 & -2 & 0 \\ 2 & -2 & -5 & 0 & -4 \\ -2 & -2 & 0 & 2 & -1 \\ -4 & 0 & -4 & -1 & -2 \end{bmatrix}","\lambda = -9, -5, -1, 3, 15"
C_5x5_eig_070,symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 2 & -3 & -2 & -6 & -2 \\ -3 & -2 & 2 & -4 & 0 \\ -2 & 2 & 3 & -4 & 4 \\ -6 & -4 & -4 & 4 & -3 \\ -2 & 0 & 4 & -3 & -4 \end{bmatrix}","\lambda = -9, -5, -1, 7, 11"
C_5x5_eig_071,symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 6 & 0 & -2 & -1 & 3 \\ 0 & 2 & 2 & -3 & 1 \\ -2 & 2 & 4 & -4 & 4 \\ -1 & -3 & -4 & 0 & 0 \\ 3 & 1 & 4 & 0 & 8 \end{bmatrix}","\lambda = -4, 0, 4, 8, 12"
C_5x5_eig_072,symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} -7 & 2 & -4 & -2 & 4 \\ 2 & -2 & 4 & 3 & 0 \\ -4 & 4 & -8 & 6 & 3 \\ -2 & 3 & 6 & -6 & 2 \\ 4 & 0 & 3 & 2 & 0 \end{bmatrix}","\lambda = -15, -11, -3, 1, 5"
C_5x5_eig_073,symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 2 & -4 & 2 & -3 & 7 \\ -4 & 6 & 2 & 1 & -5 \\ 2 & 2 & 0 & 4 & 4 \\ -3 & 1 & 4 & 8 & -4 \\ 7 & -5 & 4 & -4 & 0 \end{bmatrix}","\lambda = -8, -4, 4, 8, 16"
C_5x5_eig_074,symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 3 & -2 & -4 & 4 & 0 \\ -2 & 0 & 12 & 12 & -2 \\ -4 & 12 & -6 & 0 & -4 \\ 4 & 12 & 0 & 6 & 4 \\ 0 & -2 & -4 & 4 & -3 \end{bmatrix}","\lambda = -18, -9, 0, 9, 18"
C_5x5_eig_075,symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} -1 & 5 & 4 & -6 & 6 \\ 5 & 7 & 0 & -2 & -2 \\ 4 & 0 & 9 & -1 & -4 \\ -6 & -2 & -1 & 5 & 0 \\ 6 & -2 & -4 & 0 & 2 \end{bmatrix}","\lambda = -10, 2, 6, 10, 14"
C_5x5_eig_076,symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} -4 & -4 & 3 & 0 & 4 \\ -4 & -2 & -2 & -1 & -2 \\ 3 & -2 & 0 & 2 & 0 \\ 0 & -1 & 2 & 6 & 6 \\ 4 & -2 & 0 & 6 & -1 \end{bmatrix}","\lambda = -9, -5, -1, 3, 11"
C_5x5_eig_077,symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 0 & -7 & 2 & 3 & 4 \\ -7 & -2 & -4 & -4 & -5 \\ 2 & -4 & -2 & -4 & -2 \\ 3 & -4 & -4 & 6 & 1 \\ 4 & -5 & -2 & 1 & 4 \end{bmatrix}","\lambda = -10, -6, 2, 6, 14"
C_5x5_eig_078,symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 3 & 0 & -4 & 1 & 5 \\ 0 & -5 & -4 & -5 & -1 \\ -4 & -4 & -1 & 6 & 6 \\ 1 & -5 & 6 & -7 & 0 \\ 5 & -1 & 6 & 0 & 5 \end{bmatrix}","\lambda = -13, -9, -1, 7, 11"
C_5x5_eig_079,symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} -8 & 0 & -1 & -2 & 3 \\ 0 & -4 & -3 & 2 & 1 \\ -1 & -3 & -2 & 4 & 0 \\ -2 & 2 & 4 & -6 & -4 \\ 3 & 1 & 0 & -4 & -10 \end{bmatrix}","\lambda = -14, -10, -6, -2, 2"
C_5x5_eig_080,symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 0 & 3 & -6 & -2 & -2 \\ 3 & 4 & -4 & 0 & 2 \\ -6 & -4 & -2 & 3 & 4 \\ -2 & 0 & 3 & 6 & -4 \\ -2 & 2 & 4 & -4 & -1 \end{bmatrix}","\lambda = -9, -5, 3, 7, 11"
C_5x5_eig_081,symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} -2 & 6 & 2 & -1 & 0 \\ 6 & 4 & -5 & 4 & 6 \\ 2 & -5 & -4 & 0 & -2 \\ -1 & 4 & 0 & -6 & 4 \\ 0 & 6 & -2 & 4 & 1 \end{bmatrix}","\lambda = -11, -7, -3, 1, 13"
C_5x5_eig_082,symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} -4 & 1 & -2 & -4 & 4 \\ 1 & 4 & 6 & -4 & 0 \\ -2 & 6 & 6 & 6 & -1 \\ -4 & -4 & 6 & 1 & -6 \\ 4 & 0 & -1 & -6 & -6 \end{bmatrix}","\lambda = -11, -7, -3, 9, 13"
C_5x5_eig_083,symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 0 & 2 & 0 & 2 & 6 \\ 2 & 0 & -6 & -2 & 6 \\ 0 & -6 & 8 & -2 & 2 \\ 2 & -2 & -2 & 4 & 4 \\ 6 & 6 & 2 & 4 & -4 \end{bmatrix}","\lambda = -12, -4, 4, 8, 12"
C_5x5_eig_084,symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 2 & 2 & 3 & 4 & 0 \\ 2 & -3 & -2 & -4 & 4 \\ 3 & -2 & -2 & 6 & 2 \\ 4 & -4 & 6 & -4 & 3 \\ 0 & 4 & 2 & 3 & 4 \end{bmatrix}","\lambda = -11, -7, 1, 5, 9"
C_5x5_eig_085,symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 1 & 2 & 4 & -2 & -4 \\ 2 & -9 & 9 & 0 & 3 \\ 4 & 9 & 1 & 3 & 0 \\ -2 & 0 & 3 & -5 & 1 \\ -4 & 3 & 0 & 1 & 1 \end{bmatrix}","\lambda = -15, -7, -3, 5, 9"
C_5x5_eig_086,symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} -2 & 0 & 3 & 4 & -4 \\ 0 & 8 & -2 & -1 & 6 \\ 3 & -2 & 2 & 2 & 0 \\ 4 & -1 & 2 & 0 & -2 \\ -4 & 6 & 0 & -2 & 1 \end{bmatrix}","\lambda = -7, -3, 1, 5, 13"
C_5x5_eig_087,symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 0 & 8 & -4 & 0 & 2 \\ 8 & 0 & 4 & -2 & 0 \\ -4 & 4 & 6 & -4 & -4 \\ 0 & -2 & -4 & 8 & 0 \\ 2 & 0 & -4 & 0 & 8 \end{bmatrix}","\lambda = -10, 2, 6, 10, 14"
C_5x5_eig_088,symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 8 & 2 & -4 & -4 & 2 \\ 2 & 3 & -4 & 0 & 3 \\ -4 & -4 & 9 & 3 & 6 \\ -4 & 0 & 3 & 1 & -2 \\ 2 & 3 & 6 & -2 & 7 \end{bmatrix}","\lambda = -4, 0, 4, 12, 16"
C_5x5_eig_089,symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 0 & 0 & 2 & 4 & 6 \\ 0 & 3 & 2 & 1 & -6 \\ 2 & 2 & 5 & 0 & -5 \\ 4 & 1 & 0 & 7 & -4 \\ 6 & -6 & -5 & -4 & -3 \end{bmatrix}","\lambda = -12, 0, 4, 8, 12"
C_5x5_eig_090,symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} -5 & 5 & 0 & 6 & 1 \\ 5 & -3 & 1 & 4 & 0 \\ 0 & 1 & 7 & 6 & 5 \\ 6 & 4 & 6 & 1 & -4 \\ 1 & 0 & 5 & -4 & 5 \end{bmatrix}","\lambda = -11, -7, 1, 9, 13"
C_5x5_eig_091,symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 0 & -6 & 2 & -2 & 3 \\ -6 & 2 & 4 & -3 & 4 \\ 2 & 4 & 1 & -4 & 2 \\ -2 & -3 & -4 & -6 & 0 \\ 3 & 4 & 2 & 0 & -4 \end{bmatrix}","\lambda = -11, -7, -3, 5, 9"
C_5x5_eig_092,symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} -1 & 2 & -6 & -2 & 6 \\ 2 & -3 & -2 & 0 & 4 \\ -6 & -2 & 5 & -4 & 0 \\ -2 & 0 & -4 & 1 & 2 \\ 6 & 4 & 0 & 2 & -7 \end{bmatrix}","\lambda = -13, -5, -1, 3, 11"
C_5x5_eig_093,symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 5 & 6 & -2 & 3 & 2 \\ 6 & 7 & 4 & -4 & -3 \\ -2 & 4 & 6 & -2 & -4 \\ 3 & -4 & -2 & 1 & 0 \\ 2 & -3 & -4 & 0 & -1 \end{bmatrix}","\lambda = -6, -2, 2, 10, 14"
C_5x5_eig_094,symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 3 & -4 & 3 & -2 & 0 \\ -4 & -3 & -6 & -4 & 3 \\ 3 & -6 & -1 & 2 & -2 \\ -2 & -4 & 2 & -2 & 4 \\ 0 & 3 & -2 & 4 & 5 \end{bmatrix}","\lambda = -10, -6, 2, 6, 10"
C_5x5_eig_095,symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 9 & 3 & 3 & -5 & 1 \\ 3 & 10 & -1 & 2 & 0 \\ 3 & -1 & -2 & 4 & 6 \\ -5 & 2 & 4 & -4 & -1 \\ 1 & 0 & 6 & -1 & 0 \end{bmatrix}","\lambda = -11, -3, 5, 9, 13"
C_5x5_eig_096,symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 12 & -4 & 0 & -2 & 4 \\ -4 & -5 & 4 & 8 & -10 \\ 0 & 4 & 6 & 2 & -4 \\ -2 & 8 & 2 & -11 & -2 \\ 4 & -10 & -4 & -2 & -2 \end{bmatrix}","\lambda = -18, -9, 0, 9, 18"
C_5x5_eig_097,non_symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 5 & 0 & 4 & -7 & 6 \\ -4 & 5 & 4 & -3 & 2 \\ 3 & 0 & 4 & -3 & 3 \\ -6 & 0 & -6 & 4 & -6 \\ -10 & 0 & -10 & 10 & -11 \end{bmatrix}","\lambda = -2, -1, 1, 4, 5"
C_5x5_eig_098,non_symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 2 & 10 & 6 & 4 & 1 \\ 0 & -11 & 0 & -6 & 0 \\ 1 & 4 & -3 & 2 & -1 \\ 0 & 12 & 0 & 7 & 0 \\ 6 & 10 & 6 & 4 & -3 \end{bmatrix}","\lambda = -5, -4, -3, 1, 3"
C_5x5_eig_099,non_symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 5 & -10 & -8 & 8 & -7 \\ -2 & -1 & 0 & -2 & 4 \\ 2 & 6 & 5 & 2 & -4 \\ 1 & -2 & 2 & 4 & 1 \\ 0 & -12 & -6 & 6 & 0 \end{bmatrix}","\lambda = -1, 0, 3, 5, 6"
C_5x5_eig_100,non_symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} -2 & -6 & -2 & 5 & -4 \\ -2 & 3 & 2 & 2 & -2 \\ 1 & -10 & -5 & -1 & 2 \\ 2 & -6 & -2 & 1 & -4 \\ 2 & -6 & -2 & -2 & -1 \end{bmatrix}","\lambda = -4, -3, -1, 1, 3"
C_5x5_eig_101,non_symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} -9 & 4 & -4 & -3 & 3 \\ -4 & -1 & -4 & -3 & 3 \\ 8 & -4 & 3 & 4 & -4 \\ -4 & -2 & 6 & 6 & -1 \\ -2 & -2 & 8 & 10 & -5 \end{bmatrix}","\lambda = -5, -3, -2, -1, 5"
C_5x5_eig_102,non_symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 6 & 5 & 6 & -1 & -1 \\ 1 & -4 & -6 & -5 & -1 \\ -3 & 5 & 6 & 8 & 3 \\ -5 & 5 & 6 & 10 & 5 \\ 12 & 0 & 0 & -12 & -7 \end{bmatrix}","\lambda = -1, 0, 1, 5, 6"
C_5x5_eig_103,non_symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} -9 & -1 & 5 & 12 & -5 \\ 7 & -1 & -5 & -12 & 5 \\ 0 & -1 & -4 & 8 & -1 \\ -5 & 0 & 5 & 9 & -5 \\ 3 & 0 & -3 & 6 & -2 \end{bmatrix}","\lambda = -5, -3, -2, -1, 4"
C_5x5_eig_104,non_symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} -7 & 1 & 2 & 2 & 8 \\ 4 & 6 & 2 & -6 & 0 \\ -11 & 1 & 6 & 2 & 8 \\ -7 & 1 & 2 & 2 & 8 \\ -1 & 1 & 2 & -1 & 5 \end{bmatrix}","\lambda = -3, 0, 4, 5, 6"
C_5x5_eig_105,non_symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 0 & -3 & -3 & -3 & 2 \\ -1 & 2 & 1 & -4 & -2 \\ -5 & 7 & 2 & 7 & -2 \\ 4 & -8 & -4 & -2 & 4 \\ 3 & -6 & -3 & -6 & 2 \end{bmatrix}","\lambda = -3, -1, 0, 2, 6"
C_5x5_eig_106,non_symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 2 & 0 & -1 & -3 & -3 \\ -3 & -1 & 1 & 3 & 3 \\ 6 & 3 & 3 & 3 & 0 \\ -1 & 1 & 1 & 3 & 3 \\ -3 & 0 & -1 & -3 & 2 \end{bmatrix}","\lambda = -1, 0, 2, 3, 5"
C_5x5_eig_107,non_symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} -5 & 8 & 12 & 5 & 4 \\ -8 & 9 & 10 & 3 & 4 \\ 4 & -2 & 1 & 2 & 0 \\ 4 & -6 & -10 & -4 & -4 \\ -7 & 7 & 6 & 0 & 2 \end{bmatrix}","\lambda = -2, -1, 1, 2, 3"
C_5x5_eig_108,non_symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 6 & -11 & 0 & 1 & 6 \\ 5 & -10 & -10 & -1 & 5 \\ 1 & -1 & 5 & 1 & 1 \\ 5 & -5 & 0 & 6 & 5 \\ 0 & 0 & -10 & -2 & 0 \end{bmatrix}","\lambda = -5, 0, 1, 5, 6"
C_5x5_eig_109,non_symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 0 & -3 & 3 & 0 & 4 \\ 8 & 0 & -8 & 1 & -8 \\ 10 & -1 & -7 & 1 & -10 \\ 10 & 4 & -10 & -3 & -10 \\ -3 & -3 & 3 & 0 & 7 \end{bmatrix}","\lambda = -6, -5, 1, 3, 4"
C_5x5_eig_110,non_symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} -7 & 2 & 2 & 0 & -2 \\ -5 & 3 & -2 & 5 & -3 \\ -10 & 2 & 5 & 0 & -2 \\ -8 & 0 & 8 & -5 & 0 \\ 9 & -2 & -4 & 5 & 2 \end{bmatrix}","\lambda = -5, -1, 0, 1, 3"
C_5x5_eig_111,non_symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} -2 & 5 & 1 & -5 & -4 \\ 8 & 0 & 6 & -1 & 1 \\ -3 & -5 & -6 & 5 & 4 \\ 7 & 2 & 5 & -3 & 3 \\ 1 & 4 & 1 & -4 & -8 \end{bmatrix}","\lambda = -6, -5, -4, -3, -1"
C_5x5_eig_112,non_symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} -3 & 6 & 1 & -1 & -2 \\ 1 & 2 & 1 & 0 & 1 \\ -4 & 2 & 0 & -7 & 3 \\ 8 & -8 & 0 & 5 & 3 \\ 8 & -8 & 0 & 8 & 0 \end{bmatrix}","\lambda = -3, 0, 1, 2, 4"
C_5x5_eig_113,non_symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 3 & 0 & 0 & 8 & -7 \\ 5 & 0 & -6 & 0 & 9 \\ -10 & 0 & 6 & -10 & 0 \\ -7 & 0 & 0 & -12 & 7 \\ -6 & 0 & 0 & -6 & 2 \end{bmatrix}","\lambda = -5, -4, 0, 2, 6"
C_5x5_eig_114,non_symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 6 & -4 & -2 & 8 & -8 \\ -7 & -1 & -3 & -4 & 8 \\ 2 & 2 & 6 & -4 & -4 \\ -5 & 2 & 5 & -10 & 3 \\ 7 & -2 & 3 & 4 & -11 \end{bmatrix}","\lambda = -6, -3, -2, 0, 1"
C_5x5_eig_115,non_symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} -1 & 6 & 4 & 2 & 0 \\ -11 & 1 & 2 & -9 & 2 \\ 11 & 2 & 1 & 9 & -2 \\ 11 & -4 & -2 & 6 & -2 \\ 1 & 7 & 5 & 6 & 2 \end{bmatrix}","\lambda = -3, -1, 3, 4, 6"
C_5x5_eig_116,non_symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 5 & 3 & 6 & -3 & 3 \\ 6 & -9 & -5 & -2 & -12 \\ -6 & -6 & -10 & 2 & -6 \\ 0 & -8 & -8 & -2 & -8 \\ 0 & 9 & 9 & 0 & 12 \end{bmatrix}","\lambda = -6, -2, -1, 2, 3"
C_5x5_eig_117,non_symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 8 & 2 & -2 & -2 & -6 \\ -9 & -4 & 2 & 2 & 5 \\ -6 & 0 & 3 & 0 & 6 \\ -4 & 0 & -1 & 2 & 4 \\ 11 & 2 & -2 & -2 & -9 \end{bmatrix}","\lambda = -3, -2, 0, 2, 3"
C_5x5_eig_118,non_symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} -11 & -12 & 0 & -3 & 3 \\ 6 & 7 & 0 & 3 & -3 \\ 3 & 3 & 0 & 0 & 2 \\ 11 & 11 & 0 & 4 & -2 \\ -7 & -7 & 0 & 0 & 2 \end{bmatrix}","\lambda = -5, 0, 1, 2, 4"
C_5x5_eig_119,non_symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 4 & -2 & 3 & -5 & 2 \\ 10 & -8 & 3 & -5 & 2 \\ -2 & 2 & -4 & 0 & 0 \\ -2 & 0 & -5 & -1 & 2 \\ 8 & -3 & 2 & -5 & -1 \end{bmatrix}","\lambda = -6, -4, -3, -1, 4"
C_5x5_eig_120,non_symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 0 & 6 & 11 & -8 & -3 \\ -4 & -4 & -8 & 4 & 4 \\ 0 & -6 & -1 & -2 & -1 \\ 0 & -6 & -3 & 0 & -1 \\ -8 & -8 & -4 & -4 & 4 \end{bmatrix}","\lambda = -4, -3, 0, 2, 4"
C_5x5_eig_121,non_symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 0 & -9 & 3 & 3 & 3 \\ -1 & -6 & 3 & -1 & 3 \\ -1 & -2 & -2 & -1 & 4 \\ -1 & -7 & 5 & -4 & 5 \\ -1 & 0 & 3 & -1 & -3 \end{bmatrix}","\lambda = -6, -5, -3, -1, 0"
C_5x5_eig_122,non_symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 5 & 5 & -5 & 1 & 4 \\ -12 & -6 & 1 & 3 & 2 \\ -2 & 5 & -10 & 5 & 12 \\ 0 & 1 & -1 & 0 & 2 \\ 8 & 9 & -9 & 1 & 9 \end{bmatrix}","\lambda = -5, -1, 0, 1, 3"
C_5x5_eig_123,non_symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 2 & 1 & -1 & 2 & 1 \\ -3 & -1 & -5 & 3 & 1 \\ -2 & 3 & -3 & 7 & 4 \\ 1 & 3 & 3 & 1 & 1 \\ -1 & 1 & -7 & 8 & 4 \end{bmatrix}","\lambda = -3, 0, 1, 2, 3"
C_5x5_eig_124,non_symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 5 & 4 & -4 & -8 & 4 \\ 1 & -4 & -1 & 1 & -2 \\ 3 & 4 & -9 & -7 & 4 \\ 5 & -2 & 2 & -2 & -2 \\ 4 & -3 & 3 & 2 & -5 \end{bmatrix}","\lambda = -6, -5, -3, -2, 1"
C_5x5_eig_125,non_symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} -10 & -4 & -4 & -4 & -4 \\ 2 & 2 & 1 & 1 & 1 \\ 3 & 3 & 0 & 0 & 3 \\ 8 & 0 & 6 & 6 & 0 \\ 11 & 5 & 3 & 3 & 6 \end{bmatrix}","\lambda = -2, 0, 1, 2, 3"
C_5x5_eig_126,non_symmetric,integer,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 1 & 5 & 0 & 3 & -2 \\ -6 & -1 & 0 & 6 & 2 \\ -11 & -4 & 0 & 11 & 5 \\ 6 & 5 & 0 & -2 & -2 \\ -6 & -4 & 0 & 6 & 5 \end{bmatrix}","\lambda = -5, 0, 1, 3, 4"
