Problem_ID,n,trig,b,problem_latex,answer_latex
IBP_n06_cos_b03_05,6,cos,3,"Evaluate the indefinite integral.

\int x^{6} \cos(3x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x^{6} \sin{\left(3 x \right)}}{3} + \frac{2 x^{5} \cos{\left(3 x \right)}}{3} - \frac{10 x^{4} \sin{\left(3 x \right)}}{9} - \frac{40 x^{3} \cos{\left(3 x \right)}}{27} + \frac{40 x^{2} \sin{\left(3 x \right)}}{27} + \frac{80 x \cos{\left(3 x \right)}}{81} - \frac{80 \sin{\left(3 x \right)}}{243}
IBP_n06_cos_b08_06,6,cos,8,"Evaluate the indefinite integral.

\int x^{6} \cos(8x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x^{6} \sin{\left(8 x \right)}}{8} + \frac{3 x^{5} \cos{\left(8 x \right)}}{32} - \frac{15 x^{4} \sin{\left(8 x \right)}}{256} - \frac{15 x^{3} \cos{\left(8 x \right)}}{512} + \frac{45 x^{2} \sin{\left(8 x \right)}}{4096} + \frac{45 x \cos{\left(8 x \right)}}{16384} - \frac{45 \sin{\left(8 x \right)}}{131072}
IBP_n06_cos_b07_07,6,cos,7,"Evaluate the indefinite integral.

\int x^{6} \cos(7x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x^{6} \sin{\left(7 x \right)}}{7} + \frac{6 x^{5} \cos{\left(7 x \right)}}{49} - \frac{30 x^{4} \sin{\left(7 x \right)}}{343} - \frac{120 x^{3} \cos{\left(7 x \right)}}{2401} + \frac{360 x^{2} \sin{\left(7 x \right)}}{16807} + \frac{720 x \cos{\left(7 x \right)}}{117649} - \frac{720 \sin{\left(7 x \right)}}{823543}
IBP_n06_cos_b01_08,6,cos,1,"Evaluate the indefinite integral.

\int x^{6} \cos(x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",x^{6} \sin{\left(x \right)} + 6 x^{5} \cos{\left(x \right)} - 30 x^{4} \sin{\left(x \right)} - 120 x^{3} \cos{\left(x \right)} + 360 x^{2} \sin{\left(x \right)} + 720 x \cos{\left(x \right)} - 720 \sin{\left(x \right)}
IBP_n06_cos_b05_09,6,cos,5,"Evaluate the indefinite integral.

\int x^{6} \cos(5x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x^{6} \sin{\left(5 x \right)}}{5} + \frac{6 x^{5} \cos{\left(5 x \right)}}{25} - \frac{6 x^{4} \sin{\left(5 x \right)}}{25} - \frac{24 x^{3} \cos{\left(5 x \right)}}{125} + \frac{72 x^{2} \sin{\left(5 x \right)}}{625} + \frac{144 x \cos{\left(5 x \right)}}{3125} - \frac{144 \sin{\left(5 x \right)}}{15625}
IBP_n07_sin_b07_00,7,sin,7,"Evaluate the indefinite integral.

\int x^{7} \sin(7x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x^{7} \cos{\left(7 x \right)}}{7} + \frac{x^{6} \sin{\left(7 x \right)}}{7} + \frac{6 x^{5} \cos{\left(7 x \right)}}{49} - \frac{30 x^{4} \sin{\left(7 x \right)}}{343} - \frac{120 x^{3} \cos{\left(7 x \right)}}{2401} + \frac{360 x^{2} \sin{\left(7 x \right)}}{16807} + \frac{720 x \cos{\left(7 x \right)}}{117649} - \frac{720 \sin{\left(7 x \right)}}{823543}
IBP_n07_sin_b04_01,7,sin,4,"Evaluate the indefinite integral.

\int x^{7} \sin(4x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x^{7} \cos{\left(4 x \right)}}{4} + \frac{7 x^{6} \sin{\left(4 x \right)}}{16} + \frac{21 x^{5} \cos{\left(4 x \right)}}{32} - \frac{105 x^{4} \sin{\left(4 x \right)}}{128} - \frac{105 x^{3} \cos{\left(4 x \right)}}{128} + \frac{315 x^{2} \sin{\left(4 x \right)}}{512} + \frac{315 x \cos{\left(4 x \right)}}{1024} - \frac{315 \sin{\left(4 x \right)}}{4096}
IBP_n07_sin_b10_02,7,sin,10,"Evaluate the indefinite integral.

\int x^{7} \sin(10x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x^{7} \cos{\left(10 x \right)}}{10} + \frac{7 x^{6} \sin{\left(10 x \right)}}{100} + \frac{21 x^{5} \cos{\left(10 x \right)}}{500} - \frac{21 x^{4} \sin{\left(10 x \right)}}{1000} - \frac{21 x^{3} \cos{\left(10 x \right)}}{2500} + \frac{63 x^{2} \sin{\left(10 x \right)}}{25000} + \frac{63 x \cos{\left(10 x \right)}}{125000} - \frac{63 \sin{\left(10 x \right)}}{1250000}
IBP_n07_sin_b02_03,7,sin,2,"Evaluate the indefinite integral.

\int x^{7} \sin(2x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x^{7} \cos{\left(2 x \right)}}{2} + \frac{7 x^{6} \sin{\left(2 x \right)}}{4} + \frac{21 x^{5} \cos{\left(2 x \right)}}{4} - \frac{105 x^{4} \sin{\left(2 x \right)}}{8} - \frac{105 x^{3} \cos{\left(2 x \right)}}{4} + \frac{315 x^{2} \sin{\left(2 x \right)}}{8} + \frac{315 x \cos{\left(2 x \right)}}{8} - \frac{315 \sin{\left(2 x \right)}}{16}
IBP_n07_sin_b06_04,7,sin,6,"Evaluate the indefinite integral.

\int x^{7} \sin(6x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x^{7} \cos{\left(6 x \right)}}{6} + \frac{7 x^{6} \sin{\left(6 x \right)}}{36} + \frac{7 x^{5} \cos{\left(6 x \right)}}{36} - \frac{35 x^{4} \sin{\left(6 x \right)}}{216} - \frac{35 x^{3} \cos{\left(6 x \right)}}{324} + \frac{35 x^{2} \sin{\left(6 x \right)}}{648} + \frac{35 x \cos{\left(6 x \right)}}{1944} - \frac{35 \sin{\left(6 x \right)}}{11664}
IBP_n07_sin_b05_05,7,sin,5,"Evaluate the indefinite integral.

\int x^{7} \sin(5x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x^{7} \cos{\left(5 x \right)}}{5} + \frac{7 x^{6} \sin{\left(5 x \right)}}{25} + \frac{42 x^{5} \cos{\left(5 x \right)}}{125} - \frac{42 x^{4} \sin{\left(5 x \right)}}{125} - \frac{168 x^{3} \cos{\left(5 x \right)}}{625} + \frac{504 x^{2} \sin{\left(5 x \right)}}{3125} + \frac{1008 x \cos{\left(5 x \right)}}{15625} - \frac{1008 \sin{\left(5 x \right)}}{78125}
IBP_n07_sin_b03_06,7,sin,3,"Evaluate the indefinite integral.

\int x^{7} \sin(3x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x^{7} \cos{\left(3 x \right)}}{3} + \frac{7 x^{6} \sin{\left(3 x \right)}}{9} + \frac{14 x^{5} \cos{\left(3 x \right)}}{9} - \frac{70 x^{4} \sin{\left(3 x \right)}}{27} - \frac{280 x^{3} \cos{\left(3 x \right)}}{81} + \frac{280 x^{2} \sin{\left(3 x \right)}}{81} + \frac{560 x \cos{\left(3 x \right)}}{243} - \frac{560 \sin{\left(3 x \right)}}{729}
IBP_n07_sin_b08_07,7,sin,8,"Evaluate the indefinite integral.

\int x^{7} \sin(8x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x^{7} \cos{\left(8 x \right)}}{8} + \frac{7 x^{6} \sin{\left(8 x \right)}}{64} + \frac{21 x^{5} \cos{\left(8 x \right)}}{256} - \frac{105 x^{4} \sin{\left(8 x \right)}}{2048} - \frac{105 x^{3} \cos{\left(8 x \right)}}{4096} + \frac{315 x^{2} \sin{\left(8 x \right)}}{32768} + \frac{315 x \cos{\left(8 x \right)}}{131072} - \frac{315 \sin{\left(8 x \right)}}{1048576}
IBP_n07_sin_b09_08,7,sin,9,"Evaluate the indefinite integral.

\int x^{7} \sin(9x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x^{7} \cos{\left(9 x \right)}}{9} + \frac{7 x^{6} \sin{\left(9 x \right)}}{81} + \frac{14 x^{5} \cos{\left(9 x \right)}}{243} - \frac{70 x^{4} \sin{\left(9 x \right)}}{2187} - \frac{280 x^{3} \cos{\left(9 x \right)}}{19683} + \frac{280 x^{2} \sin{\left(9 x \right)}}{59049} + \frac{560 x \cos{\left(9 x \right)}}{531441} - \frac{560 \sin{\left(9 x \right)}}{4782969}
IBP_n07_sin_b01_09,7,sin,1,"Evaluate the indefinite integral.

\int x^{7} \sin(x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- x^{7} \cos{\left(x \right)} + 7 x^{6} \sin{\left(x \right)} + 42 x^{5} \cos{\left(x \right)} - 210 x^{4} \sin{\left(x \right)} - 840 x^{3} \cos{\left(x \right)} + 2520 x^{2} \sin{\left(x \right)} + 5040 x \cos{\left(x \right)} - 5040 \sin{\left(x \right)}
IBP_n07_cos_b09_00,7,cos,9,"Evaluate the indefinite integral.

\int x^{7} \cos(9x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x^{7} \sin{\left(9 x \right)}}{9} + \frac{7 x^{6} \cos{\left(9 x \right)}}{81} - \frac{14 x^{5} \sin{\left(9 x \right)}}{243} - \frac{70 x^{4} \cos{\left(9 x \right)}}{2187} + \frac{280 x^{3} \sin{\left(9 x \right)}}{19683} + \frac{280 x^{2} \cos{\left(9 x \right)}}{59049} - \frac{560 x \sin{\left(9 x \right)}}{531441} - \frac{560 \cos{\left(9 x \right)}}{4782969}
IBP_n07_cos_b02_01,7,cos,2,"Evaluate the indefinite integral.

\int x^{7} \cos(2x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x^{7} \sin{\left(2 x \right)}}{2} + \frac{7 x^{6} \cos{\left(2 x \right)}}{4} - \frac{21 x^{5} \sin{\left(2 x \right)}}{4} - \frac{105 x^{4} \cos{\left(2 x \right)}}{8} + \frac{105 x^{3} \sin{\left(2 x \right)}}{4} + \frac{315 x^{2} \cos{\left(2 x \right)}}{8} - \frac{315 x \sin{\left(2 x \right)}}{8} - \frac{315 \cos{\left(2 x \right)}}{16}
IBP_n07_cos_b06_02,7,cos,6,"Evaluate the indefinite integral.

\int x^{7} \cos(6x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x^{7} \sin{\left(6 x \right)}}{6} + \frac{7 x^{6} \cos{\left(6 x \right)}}{36} - \frac{7 x^{5} \sin{\left(6 x \right)}}{36} - \frac{35 x^{4} \cos{\left(6 x \right)}}{216} + \frac{35 x^{3} \sin{\left(6 x \right)}}{324} + \frac{35 x^{2} \cos{\left(6 x \right)}}{648} - \frac{35 x \sin{\left(6 x \right)}}{1944} - \frac{35 \cos{\left(6 x \right)}}{11664}
IBP_n07_cos_b04_03,7,cos,4,"Evaluate the indefinite integral.

\int x^{7} \cos(4x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x^{7} \sin{\left(4 x \right)}}{4} + \frac{7 x^{6} \cos{\left(4 x \right)}}{16} - \frac{21 x^{5} \sin{\left(4 x \right)}}{32} - \frac{105 x^{4} \cos{\left(4 x \right)}}{128} + \frac{105 x^{3} \sin{\left(4 x \right)}}{128} + \frac{315 x^{2} \cos{\left(4 x \right)}}{512} - \frac{315 x \sin{\left(4 x \right)}}{1024} - \frac{315 \cos{\left(4 x \right)}}{4096}
IBP_n07_cos_b01_04,7,cos,1,"Evaluate the indefinite integral.

\int x^{7} \cos(x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",x^{7} \sin{\left(x \right)} + 7 x^{6} \cos{\left(x \right)} - 42 x^{5} \sin{\left(x \right)} - 210 x^{4} \cos{\left(x \right)} + 840 x^{3} \sin{\left(x \right)} + 2520 x^{2} \cos{\left(x \right)} - 5040 x \sin{\left(x \right)} - 5040 \cos{\left(x \right)}
IBP_n07_cos_b05_05,7,cos,5,"Evaluate the indefinite integral.

\int x^{7} \cos(5x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x^{7} \sin{\left(5 x \right)}}{5} + \frac{7 x^{6} \cos{\left(5 x \right)}}{25} - \frac{42 x^{5} \sin{\left(5 x \right)}}{125} - \frac{42 x^{4} \cos{\left(5 x \right)}}{125} + \frac{168 x^{3} \sin{\left(5 x \right)}}{625} + \frac{504 x^{2} \cos{\left(5 x \right)}}{3125} - \frac{1008 x \sin{\left(5 x \right)}}{15625} - \frac{1008 \cos{\left(5 x \right)}}{78125}
IBP_n07_cos_b07_06,7,cos,7,"Evaluate the indefinite integral.

\int x^{7} \cos(7x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x^{7} \sin{\left(7 x \right)}}{7} + \frac{x^{6} \cos{\left(7 x \right)}}{7} - \frac{6 x^{5} \sin{\left(7 x \right)}}{49} - \frac{30 x^{4} \cos{\left(7 x \right)}}{343} + \frac{120 x^{3} \sin{\left(7 x \right)}}{2401} + \frac{360 x^{2} \cos{\left(7 x \right)}}{16807} - \frac{720 x \sin{\left(7 x \right)}}{117649} - \frac{720 \cos{\left(7 x \right)}}{823543}
IBP_n07_cos_b08_07,7,cos,8,"Evaluate the indefinite integral.

\int x^{7} \cos(8x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x^{7} \sin{\left(8 x \right)}}{8} + \frac{7 x^{6} \cos{\left(8 x \right)}}{64} - \frac{21 x^{5} \sin{\left(8 x \right)}}{256} - \frac{105 x^{4} \cos{\left(8 x \right)}}{2048} + \frac{105 x^{3} \sin{\left(8 x \right)}}{4096} + \frac{315 x^{2} \cos{\left(8 x \right)}}{32768} - \frac{315 x \sin{\left(8 x \right)}}{131072} - \frac{315 \cos{\left(8 x \right)}}{1048576}
IBP_n07_cos_b03_08,7,cos,3,"Evaluate the indefinite integral.

\int x^{7} \cos(3x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x^{7} \sin{\left(3 x \right)}}{3} + \frac{7 x^{6} \cos{\left(3 x \right)}}{9} - \frac{14 x^{5} \sin{\left(3 x \right)}}{9} - \frac{70 x^{4} \cos{\left(3 x \right)}}{27} + \frac{280 x^{3} \sin{\left(3 x \right)}}{81} + \frac{280 x^{2} \cos{\left(3 x \right)}}{81} - \frac{560 x \sin{\left(3 x \right)}}{243} - \frac{560 \cos{\left(3 x \right)}}{729}
IBP_n07_cos_b10_09,7,cos,10,"Evaluate the indefinite integral.

\int x^{7} \cos(10x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x^{7} \sin{\left(10 x \right)}}{10} + \frac{7 x^{6} \cos{\left(10 x \right)}}{100} - \frac{21 x^{5} \sin{\left(10 x \right)}}{500} - \frac{21 x^{4} \cos{\left(10 x \right)}}{1000} + \frac{21 x^{3} \sin{\left(10 x \right)}}{2500} + \frac{63 x^{2} \cos{\left(10 x \right)}}{25000} - \frac{63 x \sin{\left(10 x \right)}}{125000} - \frac{63 \cos{\left(10 x \right)}}{1250000}
IBP_n08_sin_b07_00,8,sin,7,"Evaluate the indefinite integral.

\int x^{8} \sin(7x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x^{8} \cos{\left(7 x \right)}}{7} + \frac{8 x^{7} \sin{\left(7 x \right)}}{49} + \frac{8 x^{6} \cos{\left(7 x \right)}}{49} - \frac{48 x^{5} \sin{\left(7 x \right)}}{343} - \frac{240 x^{4} \cos{\left(7 x \right)}}{2401} + \frac{960 x^{3} \sin{\left(7 x \right)}}{16807} + \frac{2880 x^{2} \cos{\left(7 x \right)}}{117649} - \frac{5760 x \sin{\left(7 x \right)}}{823543} - \frac{5760 \cos{\left(7 x \right)}}{5764801}
IBP_n08_sin_b04_01,8,sin,4,"Evaluate the indefinite integral.

\int x^{8} \sin(4x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x^{8} \cos{\left(4 x \right)}}{4} + \frac{x^{7} \sin{\left(4 x \right)}}{2} + \frac{7 x^{6} \cos{\left(4 x \right)}}{8} - \frac{21 x^{5} \sin{\left(4 x \right)}}{16} - \frac{105 x^{4} \cos{\left(4 x \right)}}{64} + \frac{105 x^{3} \sin{\left(4 x \right)}}{64} + \frac{315 x^{2} \cos{\left(4 x \right)}}{256} - \frac{315 x \sin{\left(4 x \right)}}{512} - \frac{315 \cos{\left(4 x \right)}}{2048}
IBP_n08_sin_b01_02,8,sin,1,"Evaluate the indefinite integral.

\int x^{8} \sin(x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- x^{8} \cos{\left(x \right)} + 8 x^{7} \sin{\left(x \right)} + 56 x^{6} \cos{\left(x \right)} - 336 x^{5} \sin{\left(x \right)} - 1680 x^{4} \cos{\left(x \right)} + 6720 x^{3} \sin{\left(x \right)} + 20160 x^{2} \cos{\left(x \right)} - 40320 x \sin{\left(x \right)} - 40320 \cos{\left(x \right)}
IBP_n08_sin_b06_03,8,sin,6,"Evaluate the indefinite integral.

\int x^{8} \sin(6x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x^{8} \cos{\left(6 x \right)}}{6} + \frac{2 x^{7} \sin{\left(6 x \right)}}{9} + \frac{7 x^{6} \cos{\left(6 x \right)}}{27} - \frac{7 x^{5} \sin{\left(6 x \right)}}{27} - \frac{35 x^{4} \cos{\left(6 x \right)}}{162} + \frac{35 x^{3} \sin{\left(6 x \right)}}{243} + \frac{35 x^{2} \cos{\left(6 x \right)}}{486} - \frac{35 x \sin{\left(6 x \right)}}{1458} - \frac{35 \cos{\left(6 x \right)}}{8748}
IBP_n08_sin_b09_04,8,sin,9,"Evaluate the indefinite integral.

\int x^{8} \sin(9x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x^{8} \cos{\left(9 x \right)}}{9} + \frac{8 x^{7} \sin{\left(9 x \right)}}{81} + \frac{56 x^{6} \cos{\left(9 x \right)}}{729} - \frac{112 x^{5} \sin{\left(9 x \right)}}{2187} - \frac{560 x^{4} \cos{\left(9 x \right)}}{19683} + \frac{2240 x^{3} \sin{\left(9 x \right)}}{177147} + \frac{2240 x^{2} \cos{\left(9 x \right)}}{531441} - \frac{4480 x \sin{\left(9 x \right)}}{4782969} - \frac{4480 \cos{\left(9 x \right)}}{43046721}
IBP_n08_sin_b02_05,8,sin,2,"Evaluate the indefinite integral.

\int x^{8} \sin(2x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x^{8} \cos{\left(2 x \right)}}{2} + 2 x^{7} \sin{\left(2 x \right)} + 7 x^{6} \cos{\left(2 x \right)} - 21 x^{5} \sin{\left(2 x \right)} - \frac{105 x^{4} \cos{\left(2 x \right)}}{2} + 105 x^{3} \sin{\left(2 x \right)} + \frac{315 x^{2} \cos{\left(2 x \right)}}{2} - \frac{315 x \sin{\left(2 x \right)}}{2} - \frac{315 \cos{\left(2 x \right)}}{4}
IBP_n08_sin_b05_06,8,sin,5,"Evaluate the indefinite integral.

\int x^{8} \sin(5x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x^{8} \cos{\left(5 x \right)}}{5} + \frac{8 x^{7} \sin{\left(5 x \right)}}{25} + \frac{56 x^{6} \cos{\left(5 x \right)}}{125} - \frac{336 x^{5} \sin{\left(5 x \right)}}{625} - \frac{336 x^{4} \cos{\left(5 x \right)}}{625} + \frac{1344 x^{3} \sin{\left(5 x \right)}}{3125} + \frac{4032 x^{2} \cos{\left(5 x \right)}}{15625} - \frac{8064 x \sin{\left(5 x \right)}}{78125} - \frac{8064 \cos{\left(5 x \right)}}{390625}
IBP_n08_sin_b03_07,8,sin,3,"Evaluate the indefinite integral.

\int x^{8} \sin(3x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x^{8} \cos{\left(3 x \right)}}{3} + \frac{8 x^{7} \sin{\left(3 x \right)}}{9} + \frac{56 x^{6} \cos{\left(3 x \right)}}{27} - \frac{112 x^{5} \sin{\left(3 x \right)}}{27} - \frac{560 x^{4} \cos{\left(3 x \right)}}{81} + \frac{2240 x^{3} \sin{\left(3 x \right)}}{243} + \frac{2240 x^{2} \cos{\left(3 x \right)}}{243} - \frac{4480 x \sin{\left(3 x \right)}}{729} - \frac{4480 \cos{\left(3 x \right)}}{2187}
IBP_n08_sin_b10_08,8,sin,10,"Evaluate the indefinite integral.

\int x^{8} \sin(10x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x^{8} \cos{\left(10 x \right)}}{10} + \frac{2 x^{7} \sin{\left(10 x \right)}}{25} + \frac{7 x^{6} \cos{\left(10 x \right)}}{125} - \frac{21 x^{5} \sin{\left(10 x \right)}}{625} - \frac{21 x^{4} \cos{\left(10 x \right)}}{1250} + \frac{21 x^{3} \sin{\left(10 x \right)}}{3125} + \frac{63 x^{2} \cos{\left(10 x \right)}}{31250} - \frac{63 x \sin{\left(10 x \right)}}{156250} - \frac{63 \cos{\left(10 x \right)}}{1562500}
IBP_n08_sin_b08_09,8,sin,8,"Evaluate the indefinite integral.

\int x^{8} \sin(8x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x^{8} \cos{\left(8 x \right)}}{8} + \frac{x^{7} \sin{\left(8 x \right)}}{8} + \frac{7 x^{6} \cos{\left(8 x \right)}}{64} - \frac{21 x^{5} \sin{\left(8 x \right)}}{256} - \frac{105 x^{4} \cos{\left(8 x \right)}}{2048} + \frac{105 x^{3} \sin{\left(8 x \right)}}{4096} + \frac{315 x^{2} \cos{\left(8 x \right)}}{32768} - \frac{315 x \sin{\left(8 x \right)}}{131072} - \frac{315 \cos{\left(8 x \right)}}{1048576}
IBP_n08_cos_b07_00,8,cos,7,"Evaluate the indefinite integral.

\int x^{8} \cos(7x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x^{8} \sin{\left(7 x \right)}}{7} + \frac{8 x^{7} \cos{\left(7 x \right)}}{49} - \frac{8 x^{6} \sin{\left(7 x \right)}}{49} - \frac{48 x^{5} \cos{\left(7 x \right)}}{343} + \frac{240 x^{4} \sin{\left(7 x \right)}}{2401} + \frac{960 x^{3} \cos{\left(7 x \right)}}{16807} - \frac{2880 x^{2} \sin{\left(7 x \right)}}{117649} - \frac{5760 x \cos{\left(7 x \right)}}{823543} + \frac{5760 \sin{\left(7 x \right)}}{5764801}
IBP_n08_cos_b05_01,8,cos,5,"Evaluate the indefinite integral.

\int x^{8} \cos(5x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x^{8} \sin{\left(5 x \right)}}{5} + \frac{8 x^{7} \cos{\left(5 x \right)}}{25} - \frac{56 x^{6} \sin{\left(5 x \right)}}{125} - \frac{336 x^{5} \cos{\left(5 x \right)}}{625} + \frac{336 x^{4} \sin{\left(5 x \right)}}{625} + \frac{1344 x^{3} \cos{\left(5 x \right)}}{3125} - \frac{4032 x^{2} \sin{\left(5 x \right)}}{15625} - \frac{8064 x \cos{\left(5 x \right)}}{78125} + \frac{8064 \sin{\left(5 x \right)}}{390625}
IBP_n08_cos_b03_02,8,cos,3,"Evaluate the indefinite integral.

\int x^{8} \cos(3x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x^{8} \sin{\left(3 x \right)}}{3} + \frac{8 x^{7} \cos{\left(3 x \right)}}{9} - \frac{56 x^{6} \sin{\left(3 x \right)}}{27} - \frac{112 x^{5} \cos{\left(3 x \right)}}{27} + \frac{560 x^{4} \sin{\left(3 x \right)}}{81} + \frac{2240 x^{3} \cos{\left(3 x \right)}}{243} - \frac{2240 x^{2} \sin{\left(3 x \right)}}{243} - \frac{4480 x \cos{\left(3 x \right)}}{729} + \frac{4480 \sin{\left(3 x \right)}}{2187}
IBP_n08_cos_b02_03,8,cos,2,"Evaluate the indefinite integral.

\int x^{8} \cos(2x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x^{8} \sin{\left(2 x \right)}}{2} + 2 x^{7} \cos{\left(2 x \right)} - 7 x^{6} \sin{\left(2 x \right)} - 21 x^{5} \cos{\left(2 x \right)} + \frac{105 x^{4} \sin{\left(2 x \right)}}{2} + 105 x^{3} \cos{\left(2 x \right)} - \frac{315 x^{2} \sin{\left(2 x \right)}}{2} - \frac{315 x \cos{\left(2 x \right)}}{2} + \frac{315 \sin{\left(2 x \right)}}{4}
IBP_n08_cos_b04_04,8,cos,4,"Evaluate the indefinite integral.

\int x^{8} \cos(4x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x^{8} \sin{\left(4 x \right)}}{4} + \frac{x^{7} \cos{\left(4 x \right)}}{2} - \frac{7 x^{6} \sin{\left(4 x \right)}}{8} - \frac{21 x^{5} \cos{\left(4 x \right)}}{16} + \frac{105 x^{4} \sin{\left(4 x \right)}}{64} + \frac{105 x^{3} \cos{\left(4 x \right)}}{64} - \frac{315 x^{2} \sin{\left(4 x \right)}}{256} - \frac{315 x \cos{\left(4 x \right)}}{512} + \frac{315 \sin{\left(4 x \right)}}{2048}
IBP_n08_cos_b08_05,8,cos,8,"Evaluate the indefinite integral.

\int x^{8} \cos(8x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x^{8} \sin{\left(8 x \right)}}{8} + \frac{x^{7} \cos{\left(8 x \right)}}{8} - \frac{7 x^{6} \sin{\left(8 x \right)}}{64} - \frac{21 x^{5} \cos{\left(8 x \right)}}{256} + \frac{105 x^{4} \sin{\left(8 x \right)}}{2048} + \frac{105 x^{3} \cos{\left(8 x \right)}}{4096} - \frac{315 x^{2} \sin{\left(8 x \right)}}{32768} - \frac{315 x \cos{\left(8 x \right)}}{131072} + \frac{315 \sin{\left(8 x \right)}}{1048576}
IBP_n08_cos_b09_06,8,cos,9,"Evaluate the indefinite integral.

\int x^{8} \cos(9x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x^{8} \sin{\left(9 x \right)}}{9} + \frac{8 x^{7} \cos{\left(9 x \right)}}{81} - \frac{56 x^{6} \sin{\left(9 x \right)}}{729} - \frac{112 x^{5} \cos{\left(9 x \right)}}{2187} + \frac{560 x^{4} \sin{\left(9 x \right)}}{19683} + \frac{2240 x^{3} \cos{\left(9 x \right)}}{177147} - \frac{2240 x^{2} \sin{\left(9 x \right)}}{531441} - \frac{4480 x \cos{\left(9 x \right)}}{4782969} + \frac{4480 \sin{\left(9 x \right)}}{43046721}
IBP_n08_cos_b06_07,8,cos,6,"Evaluate the indefinite integral.

\int x^{8} \cos(6x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x^{8} \sin{\left(6 x \right)}}{6} + \frac{2 x^{7} \cos{\left(6 x \right)}}{9} - \frac{7 x^{6} \sin{\left(6 x \right)}}{27} - \frac{7 x^{5} \cos{\left(6 x \right)}}{27} + \frac{35 x^{4} \sin{\left(6 x \right)}}{162} + \frac{35 x^{3} \cos{\left(6 x \right)}}{243} - \frac{35 x^{2} \sin{\left(6 x \right)}}{486} - \frac{35 x \cos{\left(6 x \right)}}{1458} + \frac{35 \sin{\left(6 x \right)}}{8748}
